"stco","ppt","year"
6037,62.2510878261869,2018
6039,132.877255556699,2018
6041,275.209062579431,2018
6043,252.05835212479,2018
6045,334.120966348626,2018
6047,109.787364362332,2018
6049,221.38021983796,2018
6051,156.292441518048,2018
6053,131.179706852757,2018
6055,271.818115370394,2018
6057,380.172662260424,2018
6059,52.6023913168446,2018
6061,234.303195576684,2018
6063,328.492704309934,2018
6065,27.527861270785,2018
6067,178.991269974266,2018
6069,150.599225715043,2018
6071,37.2985721863512,2018
6073,67.8852437222753,2018
6075,NA,2018
6077,139.127580990872,2018
6079,174.759521392779,2018
6081,243.651791377019,2018
6083,166.251118414097,2018
6085,193.375682501084,2018
6087,241.033418225312,2018
6089,296.869983305356,2018
6091,298.203833285482,2018
6093,161.842115271887,2018
6095,160.842776109269,2018
6097,300.679920332953,2018
6099,117.154363496908,2018
6101,204.828792142579,2018
6103,202.328517191434,2018
6105,283.27325922857,2018
6107,96.1224846214552,2018
6109,302.53302996725,2018
6111,150.105702710428,2018
6113,175.01618817808,2018
6115,230.238496138972,2018
8001,264.223780897148,2018
8003,84.4685096897362,2018
8005,319.246364139377,2018
8007,140.579615373841,2018
8009,307.244274607008,2018
8011,204.540297141212,2018
8013,289.655412934085,2018
8014,252.145457617221,2018
8015,90.5126558992155,2018
8017,290.82866370343,2018
8019,277.847424119536,2018
8021,83.8496387303908,2018
8023,84.3189133883957,2018
8025,133.704486026247,2018
8027,127.778347444495,2018
8029,75.7175582361025,2018
8031,231.077524526551,2018
8033,91.5597157727791,2018
8035,271.615502348462,2018
8037,169.12412057766,2018
8039,283.83515450406,2018
8041,251.441293616246,2018
8043,130.788776240402,2018
8045,157.225173831822,2018
8047,290.164823064548,2018
8049,153.705163804741,2018
8051,124.92537495383,2018
8053,175.528332817207,2018
8055,157.041596185146,2018
8057,163.663024132082,2018
8059,240.530179369501,2018
8061,280.695097862336,2018
8063,365.368162770619,2018
8065,133.758531183705,2018
8067,119.747768670168,2018
8069,267.067398859117,2018
8071,210.891145562859,2018
8073,295.036083969476,2018
8075,376.25320222432,2018
8077,89.941153660834,2018
8079,149.86526622326,2018
8081,150.847376723506,2018
8083,96.8228193009335,2018
8085,69.3279994320917,2018
8087,302.671409929789,2018
8089,157.773490248542,2018
8091,118.622492398227,2018
8093,185.464499709873,2018
8095,356.033152735368,2018
8097,195.475547127167,2018
8099,283.285567876755,2018
8101,141.001898423884,2018
8103,171.580007563737,2018
8105,83.00056496792,2018
8107,194.665996127119,2018
8109,71.3548746855236,2018
8111,NA,2018
8113,97.8602105290287,2018
8115,439.983544125208,2018
8117,180.403718969724,2018
8119,205.580707857379,2018
8121,366.063718318599,2018
8123,271.675853093546,2018
8125,403.029697601967,2018
9001,809.076500742602,2018
9003,747.69142331431,2018
9005,731.556964116203,2018
9007,719.662279509263,2018
9009,717.241012255317,2018
9011,671.059548689815,2018
9013,710.594373315455,2018
9015,701.817951066411,2018
10001,731.330872583512,2018
10003,738.086622235191,2018
10005,743.03441627533,2018
12001,1130.58259903289,2018
12003,1034.95595480307,2018
